0,1584.76,2124.08,2581.25,
1,1642.88,2123.99,2570.25,
2,1529.21,2121.59,2606.39,
3,1646.85,2124.78,2636.99,
4,1611.52,2122,2676.18,
5,1652.5,2117.34,2561.65,
6,1594.06,2118.78,2594.31,
7,1581.09,2121.98,2596.64,
8,1559.31,2120.24,2575.21,
9,1551.46,2120.16,2575.1,
10,1672.99,2120.67,2572.79,
11,1623.72,2121.11,2649.64,
12,1516.58,2119.41,2583.51,
13,1528.72,2115.98,2669.67,
14,1649.69,2119.02,2603.05,
15,1529.43,2116.33,2616.02,
16,1624.71,2117.82,2555.14,
17,1620.23,2118.45,2606.05,
18,1510.48,2118.47,2562.5,
19,1673.18,2125.91,2585.12,
20,1623.94,2126.06,2684,
21,1595.41,2118.51,2571.03,
22,1646.42,2125.57,2562.41,
23,1541.92,2117.05,2552.9,
24,1638.21,2117.52,2583.84,
25,1621.44,2119.33,2581.5,
26,1599.87,2117.17,2618.9,
27,1636.39,2118.05,2549.53,
28,1609.83,2121.63,2619.17,
29,1591.08,2124.3,2611.91,
30,1525.57,2120.47,2567.51,
31,1533.7,2125.08,2544.35,
32,1523.23,2124.09,2585.97,
33,1609.95,2115.91,2569.39,
34,1607.11,2125.35,2621.3,
35,1542.4,2121.12,2561.9,
36,1642.53,2121.64,2669.46,
37,1608.97,2123.88,2671.42,
38,1649.88,2117.5,2663.69,
39,1589,2118.69,2606.51,
40,1593.64,2119.21,2573.06,
41,1593.85,2115.83,2554.01,
42,1662.69,2120.52,2523.73,
43,1615.7,2124.76,2594.59,
44,1635.37,2119.45,2589.16,
45,1649.67,2122.96,2659.05,
46,1662.77,2118.19,2576.24,
47,1635.85,2121.67,2604.53,
48,1609.33,2121.38,2622.55,
49,1571.41,2122.65,2660.06,
50,1552.86,2119.74,2583.09,
